,Time,Size of Ads ,words of content,Treated,After,Interaction ,Unnamed: 6,Unnamed: 7,TimeManawatu,Manawatu Ads treated,Manawatu Words of content,Unnamed: 11,Weekender Treated,Weekender Ads Treated,Weekender words,Unnamed: 15,Time Hasting,Hasting Ads Treated,Hasting words ,Unnamed: 19,Unnamed: 20,Unnamed: 21,TimeNapvier,Napver Ads treated,Napier words of content,Unnamed: 25,Time Katikati,Katikati Ads control ,Katikati  words,Unnamed: 29,Time Hamilton,Hamilton ads control,Hamilton words,Unnamed: 33,Time Costal news control,Costal control ads,Costal news WORDS,Unnamed: 37,Time Whanganui control,Whanganui Ads control,Whanganui words
62,20171221,0.6976,7557,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,20180111,0.5975,7910,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,20180118,0.666,7820,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,20180125,0.761666666666667,5430,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,20180201,0.735,7055,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,20180208,0.7225,3481,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,20180215,0.720416666666667,6440,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,20180222,0.748214285714286,6020,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,20180301,0.5275,4347,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,20180308,0.713333333333333,4154,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,20180315,0.722916666666667,6945,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,20180322,0.738333333333333,6183,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,20180329,0.76,6513,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,20190405,0.649,5472,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,20180412,0.661666666666667,6366,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,20180419,0.629642857142857,5055,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,20180426,0.802,9083,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,20180503,0.73125,5863,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,20180510,0.708333333333333,6772,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,20180517,0.752,4013,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,20180524,0.73125,5104,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,20180531,0.6235,5515,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,20180607,0.680416666666667,5776,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,20180614,0.745862068965517,5842,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,20180621,0.7871875,4539,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,20180628,0.713,5115,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,20180705,0.734166666666667,5900,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,20180712,0.775,5684,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,20180719,0.744285714285714,7734,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,20180726,0.7953125,5923,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,20180802,0.62875,6347,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,20180809,0.673214285714286,6278,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,20180816,0.7245,6499,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,20180823,0.720357142857143,6362,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,20180830,0.7725,4659,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,20180906,0.8025,4637,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,20180913,0.75,6495,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,20180920,0.794285714285714,4708,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,20180927,0.7752,5489,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,20181004,0.55375,8515,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,20181011,0.57825,8488,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,20181018,0.668181818181818,4768,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,20181025,0.7540625,6171,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,20181101,0.708333333333333,4860,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,20181108,0.6934375,11214,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,20181115,0.745789473684211,4831,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,20181122,0.773333333333333,7175,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
